name,S,posmak,brzina_rezanja,uzorak,komad,fill,split,opseg,maxd,avgd,50-70,70-90,90-110,110-130,130-150,150-170,170-190,190-210,210-230,230-250,250-270,270-290,290-310,310-330,330-350,350-370,370-390
D6d0S3-F0d03-Vc60-MJ002-K06,3,0.03,60.0,J002,6,43.9087338790792,15.634399996771,23.563870757845397,4.761251186597232,3.99142315386761,52784756.21981593,1043879277.5798082,105122199.30423822,42926616.62088379,18095811.336920515,30338942.289905865,4863772.051352471,5246266.055399789,13358609.28321674,5462080.169715892,4911202.095963047,1710775.6173944953,1585779.4318808094,2353773.937185446,2443625.854960488,1226935.4874663271,1452064.792586447
D6d0S3-F0d03-Vc60-MJ003-K07,3,0.03,60.0,J003,7,48.038846174494296,19.764512292186197,25.791740718285304,4.80941547096578,4.16934736303402,58604321.70992375,1213545137.615254,310149910.38406694,180754377.655522,69632791.10870302,54790282.29009496,30635734.64096581,36741542.61068596,199943740.49388692,104324539.57294574,87892670.48732433,38577148.47157103,17083961.960864216,5699873.998392091,3429772.973117822,4563839.714188703,3055604.062194014
D6d0S3-F0d03-Vc60-MJ004-K07,3,0.03,60.0,J004,7,49.4930312589611,21.218697376652997,30.9403148549935,4.86082707439315,4.13498539783056,49196501.92594759,1160305786.354449,95853122.22389704,38247990.17873203,15262252.534068398,29824756.97800629,3677243.669701061,5214794.276386206,10001124.801660383,3835779.457740979,3617268.14661871,1440906.933532975,1555995.4339445732,1965504.167534672,1448796.9866754976,1133479.7601038674,1237166.0103528092
D6d0S3-F0d03-Vc60-MJ005-K08,3,0.03,60.0,J005,8,48.655081490601,20.3807476082929,21.999899015849,4.81593873138016,4.12233937112806,53014422.63603637,1151340623.2569811,143847873.5338535,72767966.56318222,26751231.05927631,35528276.25302583,6975362.753569918,8396113.659748739,26096275.590652816,11830368.642670995,10406115.236871,3834566.319873888,2294347.461887371,2035797.389375508,1597651.5169133819,1420417.4923541066,1121012.312256783
D6d0S3-F0d03-Vc60-MJ006-K08,3,0.03,60.0,J006,8,47.7951579917791,19.52082410947089,23.4521205393685,4.51514978905572,4.1185532833425595,63838531.42468124,1421432679.0210779,399281422.1926285,234451149.28998485,85964400.62407419,72800232.65882552,36229406.71149762,37007785.46999843,148319602.18042195,80679316.31179026,71362224.52744262,25057681.56037519,9557059.441886932,4263229.428274665,3939007.195222711,3924257.6682794485,2291846.543310126
D6d0S3-F0d03-Vc60-MJ007-K09,3,0.03,60.0,J007,9,46.7274398402594,18.4531059579512,29.696390375349196,4.71139248604485,4.07645291991812,54845809.49937112,1182464596.4997823,192213564.0066672,123989240.97253379,55584201.55895897,46029528.70853832,20288334.27173131,21369449.65102066,52749708.36627918,34644257.846015565,28713903.06759145,9471502.802549593,5193379.346585226,3037194.217076089,2651529.410964094,2393451.1003842223,1449314.7214833417
D6d0S3-F0d03-Vc60-MJ008-K09,3,0.03,60.0,J008,9,42.3447434401005,14.0754906524712,28.3795949815422,4.94704740071167,3.96903003530577,55819861.44309401,1233194273.772994,138889467.31575432,73433642.71760093,28182251.79526589,37391434.058999375,10407635.277070394,10728690.13317518,28350839.148312,14662660.53733121,13810694.89202066,4354915.173541965,2302868.636556866,2864137.089556896,2258619.299622116,1753679.875059767,1571801.8422741182
D6d0S3-F0d03-Vc60-MJ009-K10,3,0.03,60.0,J009,10,48.0524862104097,19.7781523281016,25.7699611195573,4.70202112467893,4.07868644163346,51546199.66132318,1088682952.5686624,237159822.6833745,173760730.54545912,83985425.92556566,59003999.20149707,44839497.74044889,41888239.79955418,142329278.98014367,110654246.38574098,113829558.05008504,33945022.17196728,16543495.324945886,7239605.266856357,3909806.8360994407,4405281.2407640405,3119359.1471334333
D6d0S3-F0d03-Vc60-MJ010-K10,3,0.03,60.0,J010,10,47.1762807658431,18.901946883535,25.5480076894594,5.061351649273,4.07679158493966,61147538.41050711,1337441935.5969474,262031384.17229423,155244904.29092547,65803181.30302326,50992573.52059012,24531176.60853429,25489599.48527077,81744033.52598022,52482705.52936562,49217286.27737328,16033705.14524952,7428965.502264714,3291231.129501786,3002505.754624692,2865380.107357693,1591012.0935585154
D6d0S3-F0d06-Vc15-MJ001-K06,3,0.06,15.0,J001,6,42.3752072047381,14.1008733224299,26.3121675689499,4.47629145343522,3.8619505429321896,22278675.26384612,27766142.58064335,182986651.34781063,26639890.97521908,7641498.168418697,48562754.78621594,1735217.4936251002,5817386.949366625,9368578.098641006,2531205.878885608,2414075.7219311064,3026864.5955825895,2194529.257955249,2350592.112544009,2155468.847025968,2352105.5268837055,1681251.8300595863
D6d0S3-F0d06-Vc15-MJ002-K06,3,0.06,15.0,J002,6,44.06780733867751,15.795902300748502,23.7102908758997,4.961649788070639,4.09936440664993,26269284.13903788,36066980.678086266,195440403.99183017,26102063.30208249,8144974.752564142,55523151.82111554,1856193.021341092,4615037.112179344,7695006.044343183,1973642.653752421,2094804.7791502809,1978284.7924359832,1443150.2151063632,1446122.4641291962,1260274.226969042,1343725.7612967263,1565838.6984552369
D6d0S3-F0d06-Vc15-MJ003-K07,3,0.06,15.0,J003,7,45.1562254782518,16.8818915959437,18.598660611763002,4.72625165127286,3.94081969119761,22177355.61711413,29150548.27893072,86278975.59330103,13811385.009852026,4952380.625238537,29583801.757630784,1649231.2639270248,3184297.3247258705,5443480.978282967,1456564.4717439956,2033332.6903921969,1808864.277138865,1498025.8620227734,1877380.02201388,2769072.3831807487,1797109.278388953,1462657.3930580488
D6d0S3-F0d06-Vc15-MJ004-K07,3,0.06,15.0,J004,7,46.641545769436796,18.3672118871286,37.5194676594161,5.4516303542973,4.1171863654342005,26585749.082453344,43750038.90040784,131501213.14174972,16268315.870441565,7636188.101266433,36010454.42494109,1724810.818945665,3794308.845915181,6674810.053190563,1427179.7488930325,1306674.2946679478,1301254.3054203957,1075460.2247269552,1239067.1491767245,1202333.3567824028,1020442.3182447876,779864.2359631364
D6d0S3-F0d06-Vc15-MJ005-K08,3,0.06,15.0,J005,8,47.216038599594896,18.941704717286697,29.479944290481896,5.05972759159872,4.1259754776565485,29252778.59875801,40846451.80790537,171288942.113679,21657707.67741055,9394249.917363375,53585697.33517534,3011571.450309465,6308662.157427843,11376629.169661328,2216521.4000458675,2476854.000705949,2780386.654170374,1496961.8645216813,2037358.3114130972,1982671.341619834,1273140.8068325096,1562442.4087425089
D6d0S3-F0d06-Vc15-MJ006-K08,3,0.06,15.0,J006,8,48.281260266501896,20.0069263841938,28.5418847133148,4.70731493667239,4.12681742422221,35405629.57411288,52801706.52478145,120805346.0171174,17058802.174261432,7644731.146998461,43955625.245154224,2755017.5732116047,4422047.928836927,8145832.009495143,1775052.9557106518,2011747.113228284,2173125.210203973,1799600.526982175,1508229.093470283,1319889.4653620534,1644551.3130678975,1449940.3323800268
D6d0S3-F0d06-Vc15-MJ007-K09,3,0.06,15.0,J007,9,41.97152793331721,13.697194051009,27.4599191879715,4.583940850745611,3.9288851997029104,32437702.086358074,57438730.51774334,101965516.9008502,18845642.67132031,5954325.346326592,41160691.5713076,3402324.305874998,5276364.500336857,7165987.902679759,1844996.5073707127,1996447.224934241,1784333.6049872318,1377497.5018353087,1533087.191306799,1299559.826680347,1579971.8417209378,809533.4413631427
