name,S,posmak,brzina_rezanja,uzorak,komad,fill,split,opseg,maxd,avgd,50-60,60-70,70-80,80-90,90-100,100-110,110-120,120-130,130-140,140-150,150-160,160-170,170-180,180-190,190-200,200-210,210-220,220-230,230-240,240-250,250-260,260-270,270-280,280-290,290-300,300-310,310-320,320-330,330-340,340-350,350-360,360-370,370-380,380-390,390-400
D6d0S4-F0d09-Vc15-MJ006-K13,4,0.09,15.0,J006,13,52.5414746192661,24.267140736957998,33.5862867110061,5.12258208566897,4.25001035007327,835456.8381956166,47678378.82520936,47674589.29055169,28241519.0584882,144253788.36237574,5729554.048075043,5513486.901768175,20817394.78304543,1670766.031575744,5379714.758761852,15166752.441005468,19350034.947075646,1937967.7573644768,388656.93859777175,1200246.676145973,3360551.687292988,192926.4264695771,6508609.031128992,699556.4496266955,1189546.7804919838,1120456.1140904292,872263.3066444723,824045.0293802503,1020340.2627475729,467906.03867110226,1020649.4311612636,598391.2044093788,1070339.223220775,680077.792414938,750212.3343788342,398671.8806178547,457783.00590511813,284158.16123838484,416156.87607737374,210695.75734919086
D6d0S4-F0d09-Vc15-MJ007-K14,4,0.09,15.0,J007,14,46.913592716751204,18.6392588344431,26.910546108126802,5.07616685199161,4.12131841327608,438936.05715630186,40653469.14740542,43949836.93371121,23586417.37241957,204577128.6413728,458554.89887409064,3692745.71769244,19593156.10623084,435294.8295333301,5368304.792720025,20704210.377672624,33300288.380095195,2245618.319907708,244451.6458209835,1166015.6845788714,2245250.873686302,264230.381234702,6101714.547457985,729137.6844348089,752290.6247347682,1226205.9296084777,532317.3753522524,834284.2104414394,647704.8573649146,391554.2321836658,689531.670292228,505666.34773500345,591531.970541197,575420.029146757,410154.2710221906,559659.9598990689,294623.02868384804,432946.56234803563,251581.34917385678,310008.2009986816
D6d0S4-F0d09-Vc15-MJ008-K14,4,0.09,15.0,J008,14,46.4703988570104,18.1960649747022,27.980440734446802,4.97579703561751,4.01726072576357,324689.28344160947,46749599.91314949,31372891.916744564,19094249.67256265,154016523.04097864,486461.12331495923,3843987.260257777,16038665.549095018,349961.1099227075,6277225.113930763,16806565.18368469,21246280.558614794,1895272.099197056,261625.7745331996,1382207.4043240743,4002632.524110751,406355.7192014213,7094570.3894384615,891141.6379849326,777194.2246695431,1422982.3905771931,579469.8450857982,951849.105270571,974684.8203246228,918558.126332768,1255984.6783155391,1567672.5591145763,1091749.4768906685,1598876.1681517982,696174.3114414534,1051111.393648736,596270.5588574226,533158.5531773795,605363.6823496115,353482.2749051137
D6d0S4-F0d09-Vc15-MJ009-K15,4,0.09,15.0,J009,15,43.5538017409419,15.2794678586337,25.543756325196398,4.6590359493533615,3.93415507397893,267288.34608503466,41052438.05529312,32707205.34677701,20656949.769456014,257495806.7100852,441104.93184502696,2978325.1292538694,17840936.810152523,292460.30279453564,4824607.131359727,17132887.103661153,28167789.36717296,1992843.0264605489,185200.98044939444,1140114.129523342,3043903.0377292424,237221.2285534831,6002367.719742567,786423.0143011974,822836.73712275,1084363.9425129513,495721.4372263115,872079.4122375573,696921.7532009982,846870.6599008816,684973.5646674187,718251.3941656031,927761.3479206432,909149.254782008,725480.0223401253,559806.6519190369,446544.9902183197,644357.2150190577,640139.8072435294,266855.45199423126
D6d0S4-F0d09-Vc15-MJ010-K15,4,0.09,15.0,J010,15,48.2377156149446,19.9633817326365,26.764545894289604,4.879899337926,4.1605951336691405,347155.00863044715,42545499.13382464,39391545.59930474,25407073.113383435,130653089.74392384,471305.9735442521,3296973.0873908782,15369973.021137726,325577.433566359,6999146.476090001,15795232.161140753,22316096.583816025,1842062.274603489,275048.9924392796,1578498.1491813124,5293793.761162221,261153.16077086405,7915900.3051522225,843463.0328660018,1179852.0218384522,1237349.36505617,529330.7763756339,1472726.9208288563,806149.6952151728,426070.88781411096,1018325.8982302805,1043021.3661852736,784222.4158346804,509200.51917696797,1055824.657712887,667439.1976751522,442721.9066993347,391165.33951982495,627735.3126705484,243649.1776610741
D6d0S4-F0d09-Vc30-MJ001-K11,4,0.09,30.0,J001,11,54.7236435522719,26.4493096699638,42.312767227612,5.41958205750769,4.42642149655003,730924.7200558019,56530142.58143521,191357762.57401252,184447951.8247383,124059711.46034786,1636041.201349085,14823698.115071815,24564997.66010544,1008448.4283199436,11573982.486269435,18183422.000992827,12669414.47401452,2019488.1141826853,509761.341513331,2284873.1578314845,2556342.518823025,390920.07221516897,9273974.083626764,1064861.7495205987,1034056.2080755734,1623035.9819611076,713653.8367578874,1666763.9369345738,936434.3714306231,647154.2616146944,908164.8999714943,734837.3322791195,733275.9356839607,803231.4372740233,1021056.2263340051,653569.9919581477,542698.4968368007,347870.5119032267,390113.88560925366,300101.55225093925
D6d0S4-F0d09-Vc30-MJ002-K11,4,0.09,30.0,J002,11,49.2735360093859,20.999202127077698,26.4707066387391,5.19425222423116,4.23096306329935,1549150.5887573906,77009211.86281781,406994999.8507068,339144599.51286787,117787726.54071914,4889170.386203197,17190910.977635726,17004591.802680433,1367906.1065789838,9958477.574477127,11655485.342520004,8910798.224320484,2212270.6726255883,452466.9408562518,2160560.8966779183,2163420.9098110665,300336.08727454854,9587097.02312696,964152.71432077,859487.0573927512,1335283.4948500765,598858.8110858136,1217912.1736520506,624506.2264279721,605330.0164635124,862530.0447129947,709548.5082793981,841750.1695324191,530936.099453049,566943.4624513262,470248.62177434255,551785.8451254052,362152.1916867485,546536.182214618,235842.3834465877
D6d0S4-F0d09-Vc30-MJ003-K12,4,0.09,30.0,J003,12,50.2177514610839,21.9434175787757,26.450048832246598,4.83361353174958,4.14682875638263,1444342.4043776873,64141000.520718105,214170750.8387169,172957473.94128427,138339194.52323136,2963022.67046505,18226583.335731894,21493317.076726247,1457474.7943060163,11474195.339313146,18007457.642269615,15518207.992177784,2371481.308085166,600462.6857986959,2545917.508827641,2427298.826427836,319400.9749032454,10358538.57787625,824282.6992762069,979824.470839602,1751514.3156312334,614621.8824965839,1298760.086163958,712331.5550742929,455813.9113617986,1114697.2976793572,748272.5731027934,953237.9495235485,641380.7765384768,967288.771919835,473850.6260723372,724964.4723772176,340766.084861014,350591.3519833102,295344.4159545633
D6d0S4-F0d09-Vc30-MJ004-K12,4,0.09,30.0,J004,12,48.3432707464587,20.0689368641506,27.8490292514134,4.82765119982351,4.04375999742764,1029791.6059227687,156028543.10433573,262366401.81644428,189739752.75138602,93289787.93250616,1033281.6975315079,23308034.70210565,8108518.8682203125,667815.8593787487,13435406.695772715,26342837.12762518,11752677.95874873,1591777.1544902376,346866.4261658567,1951285.5575694325,1504805.3803046371,348786.517189314,11727291.003828073,756159.8746165382,744506.1732058291,1707979.4788024088,619664.0721166576,1222255.2365601885,883478.577898244,638207.651385753,1235525.0479650442,731828.7618406636,1422685.0201557032,654354.0826740904,1284237.6226130866,528582.9383239498,1001196.908504892,369411.93270152534,721589.9549473448,279689.3648220816
D6d0S4-F0d09-Vc30-MJ005-K13,4,0.09,30.0,J005,13,47.5218628462626,19.247528963954398,28.2660064515767,4.88554156455216,4.12836902379586,1080042.3296346508,107494685.70860116,268344553.25311318,237782433.47046912,214212594.25233847,2971280.817613638,26420997.049395204,13193449.282926114,1328780.5253494729,12505144.332517307,28048179.16260923,11081716.708639806,1848544.6287117081,734703.3088883007,2070706.5792282384,2570224.577340011,528039.6565899116,14929069.220918205,1063691.8554708955,1120663.3980847332,1696618.08305726,773318.1368000652,1120155.685043677,697234.8742740877,494016.1257993982,1279984.148782774,751117.5282506071,925452.137574538,674750.4670381885,1145265.239396052,544433.767442585,861494.3154431342,499994.6789753093,506367.6465612147,282972.970809498
D6d0S4-F0d09-Vc30-MJ006-K13,4,0.09,30.0,J006,13,47.1455993184807,18.8712654361725,29.571784877726497,5.00181031526538,4.174696444582991,825381.4807798634,124538601.42709288,285432916.94595814,211620957.29705045,107139589.61434712,1756216.4685823002,23832350.43461496,8213628.258628631,770641.9848076869,16820745.960177027,19545303.77910944,10399721.117599526,1454144.8546165081,374018.5918298258,2034395.8620923408,1590575.301192661,332262.027593125,11310497.936161287,599154.2116717122,1090410.7481653006,1856571.1056374968,707604.4127120441,1163919.3524322626,1293330.9791873274,681173.6254158831,1619367.503222131,1062743.6983997514,1271209.3945615704,690079.9810835465,1931722.81818832,797522.716984494,954148.1045045528,532350.3498092475,891788.4898285997,319531.29988037725
D6d0S4-F0d09-Vc30-MJ007-K14,4,0.09,30.0,J007,14,44.3875207941961,16.1131869118879,27.388155619114197,4.9847955928636525,4.07500259026336,578299.4163381447,83695800.43204117,301237690.25581163,235963730.20855832,191106142.4985126,1541698.1833977532,22478856.573649388,12884416.006595075,861917.1216571919,15917376.70863098,31127681.87086887,10674415.106630843,1693381.110811672,810700.4215935026,1730615.332479951,1867062.4175825662,463113.8126618336,9409736.939580867,1149698.7427967705,1363100.1834023364,1731157.0639835475,812201.1898494563,1337385.8397631177,703838.6810752363,484645.4768617238,936717.6461625728,580155.4588322435,682801.9025020634,482905.9835940351,746799.5651502016,423249.344096241,571903.0795423122,363479.5352540456,360387.8607370655,250899.7713637289
D6d0S4-F0d09-Vc30-MJ008-K14,4,0.09,30.0,J008,14,47.516462132177494,19.2421282498694,29.3885162440796,5.01060102117439,4.11929000316176,955905.3165519921,150514685.90515032,297539436.39466155,199935168.69184816,110117320.80161288,1025092.1705837871,23408477.533453643,8252483.03958525,819449.9819978059,14493702.578296434,18941958.26175604,7024690.846510865,1815396.476746564,479102.825260851,1907531.0501742903,1558433.147801312,397391.33726650616,11228374.30408243,799769.2741690674,926860.53137564,1826365.015410214,635126.7086124547,1161438.1790740706,682647.2163695208,634124.7653318505,804247.5617047186,702022.3509272047,832194.5130816259,623765.6741942854,827107.9259547346,584579.318576348,806345.9326087212,424995.44177707547,704279.6073909274,293818.29064474354
