,name,S,posmak,brzina_rezanja,uzorak,komad,fill,split,opseg,maxd,avgd
120,D6d0S1-F0d12-Vc15d0-MJ002-K01,1,0.12,15.0,J002,01,46.448759492909794,18.1744256106017,54.2616017373738,5.61442724970399,4.08667972723136
121,D6d0S1-F0d12-Vc15d0-MJ003-K02,1,0.12,15.0,J003,02,44.432347982179,16.1580140998708,48.7888434289583,5.2819283594002,3.78310839041593
122,D6d0S1-F0d12-Vc15d0-MJ004-K02,1,0.12,15.0,J004,02,45.2188937932042,16.9445599108961,31.5268810623239,5.15044921557587,3.9407883551601
123,D6d0S1-F0d12-Vc15d0-MJ005-K03,1,0.12,15.0,J005,03,40.4004575575575,12.1261236752494,26.678511702022902,4.504657278935309,3.7439337733226
124,D6d0S1-F0d12-Vc15d0-MJ006-K03,1,0.12,15.0,J006,03,43.621951260166206,15.3476173778581,27.802371686090805,5.0801768443146305,3.9078615058935897
125,D6d0S1-F0d12-Vc15d0-MJ007-K04,1,0.12,15.0,J007,04,47.108779991574295,18.834446109266104,35.1732401730161,5.57078279455006,4.04144529542112
126,D6d0S1-F0d12-Vc15d0-MJ008-K04,1,0.12,15.0,J008,04,48.459679445405996,20.1853455630978,29.4902874868815,5.28367105015852,4.18206296739531
127,D6d0S1-F0d12-Vc15d0-MJ009-K05,1,0.12,15.0,J009,05,44.1793616977814,15.905027815473302,26.5199860796895,4.65220408608167,3.90975049133502
128,D6d0S1-F0d12-Vc15d0-MJ010-K05,1,0.12,15.0,J010,05,46.9566493631289,18.682315480820698,27.638230650317198,4.9134236945522005,4.05689693360105
129,D6d0S1-F0d12-Vc30d0-MJ001-K01,1,0.12,30.0,J001,01,42.491828991081704,14.217495108773502,25.1870154095746,5.03306232190172,3.8923143809078904
130,D6d0S1-F0d12-Vc30d0-MJ002-K01,1,0.12,30.0,J002,01,44.1958911501873,15.9215572678792,51.19088179514971,5.15592090909801,3.9172297594638996
131,D6d0S1-F0d12-Vc30d0-MJ003-K02,1,0.12,30.0,J003,02,46.5501912363679,18.2758573540597,27.3924516101014,5.080263986998959,4.0440291205491
132,D6d0S1-F0d12-Vc30d0-MJ004-K02,1,0.12,30.0,J004,02,42.788654692698,14.5143208103898,28.3774007239403,4.8288926489560895,3.91992938784581
133,D6d0S1-F0d12-Vc30d0-MJ005-K03,1,0.12,30.0,J005,03,44.21110587008929,15.936771987781201,27.770957707104202,4.97711657391407,4.00053141720087
134,D6d0S1-F0d12-Vc30d0-MJ006-K03,1,0.12,30.0,J006,03,38.8099657970213,10.5356319147132,26.8614107049087,4.63231511380123,3.68763347490376
135,D6d0S1-F0d12-Vc30d0-MJ007-K04,1,0.12,30.0,J007,04,44.865455427796796,16.591121545488697,27.9669550647543,5.0370718015672,3.9469471001206
136,D6d0S1-F0d12-Vc30d0-MJ008-K04,1,0.12,30.0,J008,04,42.5363592959939,14.262025413685802,28.6751633344671,5.12645647606077,3.97367190999594
137,D6d0S1-F0d12-Vc30d0-MJ009-K05,1,0.12,30.0,J009,05,43.9310077129199,15.656673830611801,27.0209384145626,4.89821452024566,3.9598061508522004
138,D6d0S1-F0d12-Vc30d0-MJ010-K05,1,0.12,30.0,J010,05,44.4167758702419,16.1424419879338,27.2094259937014,4.9824358991739,4.05276427926095
139,D6d0S1-F0d12-Vc45d0-MJ001-K01,1,0.12,45.0,J001,01,41.9829599670829,13.708626084774801,25.703925580238103,4.69144604496858,3.82271878405986
140,D6d0S1-F0d12-Vc45d0-MJ002-K01,1,0.12,45.0,J002,01,46.885550425866,18.611216543557802,29.571478199501602,5.02993538317246,4.096457628675701
141,D6d0S1-F0d12-Vc45d0-MJ003-K02,1,0.12,45.0,J003,02,44.2175755746372,15.9432416923291,25.450797309139105,5.04187848654931,3.93063716746026
