name,S,posmak,brzina_rezanja,uzorak,komad,fill,split,opseg,maxd,avgd,50-80,80-110,110-140,140-170,170-200,200-230,230-260,260-290,290-320,320-350,350-380,380-400
D6d0S1-F0d06-Vc30-MJ007-K04,1,0.06,30.0,J007,4,45.705315293013896,17.4309814107058,28.8544403857258,5.17280929197268,4.08830910617132,24273981.510660045,15926017.28799135,14716757.969167922,16238936.997668087,24215363.77009647,26918821.74795741,16971504.869434774,12446705.477756092,16858162.126745094,22558970.15964869,44569490.77322649,45226457.74502283
D6d0S1-F0d06-Vc30-MJ008-K04,1,0.06,30.0,J008,4,40.1214556555595,11.847121773251299,25.941155736223998,4.45389899174207,3.728768676859141,24889474.99189408,17795935.73151692,17108578.243027993,16573428.607042534,13491028.367310304,30046640.697273355,15613577.446711205,19275782.77271311,30239593.79934995,34355552.37133406,30613353.64458485,32118257.46161075
D6d0S1-F0d06-Vc30-MJ009-K05,1,0.06,30.0,J009,5,43.457499448406296,15.183165566098099,25.6442527018158,4.747420546614519,3.8865158136772595,29688807.86454664,23551186.49043513,21654970.794411894,18169157.397921536,34900551.09124115,23605490.00113996,15947592.657701915,21638930.222253706,58508037.23016106,52417275.93296124,71031987.22304103,51233976.12174043
D6d0S1-F0d06-Vc30-MJ010-K05,1,0.06,30.0,J010,5,46.2683882511722,17.994054368864,27.253604966830697,5.22559742187522,4.04876688727687,31214172.068325605,14403967.69798441,21002733.298692293,17044899.068918273,31882962.460418746,41360152.86660532,21551871.9285768,15320319.116088685,21305408.661608413,38381768.04198611,71828928.89223523,49129844.89063858
D6d0S1-F0d06-Vc45-MJ001-K01,1,0.06,45.0,J001,1,44.6285207139735,16.354186831665302,41.7790307899311,5.34254623946894,3.8872234551221503,27066896.84922881,27512620.88947042,36331066.74771594,22892551.75155304,18676149.62331142,26948257.18591221,22072300.81774266,45858229.73547365,53152516.50486161,64886775.89877717,214919351.6869352,82312485.65860021
D6d0S1-F0d06-Vc45-MJ002-K01,1,0.06,45.0,J002,1,42.202024205656,13.927690323348,36.7248058481616,4.95573919410198,3.79346041928342,23510518.19812132,17402745.4890572,15789581.672154555,18227613.19008172,20567075.88971816,22891969.93995363,19354404.83837602,14969707.52522626,30457497.49954905,53922462.61668029,76021804.38862093,59317225.48872019
D6d0S1-F0d06-Vc45-MJ003-K02,1,0.06,45.0,J003,2,42.3292726186479,14.0549387363398,25.125178798087106,4.58679823936146,3.8605457653049395,44489470.21675366,31016913.28291465,22088787.69499889,20195142.74712716,20879645.51657392,25191912.45754113,28164651.54349625,24607496.66473038,50940331.10448954,78758965.77737115,70304806.2360106,34545057.635163225
D6d0S1-F0d06-Vc45-MJ004-K02,1,0.06,45.0,J004,2,41.2854656993178,13.011131817009597,33.3755433633986,4.6012153796357,3.8799086632538895,30299593.04641842,19629024.951806083,18688995.826462146,13615673.805303454,17500695.07835912,23482639.80519741,13418820.265253855,19139241.349804737,44441953.61690842,46235739.22479741,81587153.54508437,51514638.50197716
D6d0S1-F0d06-Vc45-MJ005-K03,1,0.06,45.0,J005,3,39.4537092093238,11.206161959929199,26.8695919432047,4.702077184799768,3.80255726623954,31139147.878935777,35012662.90356606,26644909.87751214,28687429.86669507,29866102.32520731,27695978.021888483,27344569.34153684,24402605.38067261,38413424.69425272,56308291.57031282,73142344.1631518,31875818.383083224
D6d0S1-F0d06-Vc45-MJ006-K03,1,0.06,45.0,J006,3,38.1770012586316,9.90266737632344,25.009205882761,4.55735709972152,3.6547652292841,25256261.78931613,23032219.60376349,19959108.55243088,16615943.800049188,14754048.244126407,22547796.98688417,20397700.901585396,32096701.04346734,45706669.07544514,74467450.75135154,137916545.14906406,55008512.75047872
D6d0S1-F0d06-Vc45-MJ007-K04,1,0.06,45.0,J007,4,46.729693986642,18.4553601043339,27.2573863736124,4.88695235551003,3.99838619256716,21858691.71597953,30996068.110523198,16867412.458165653,16541919.243589902,21578214.07976209,20938995.89920648,24110415.01705585,25761158.50283407,45125985.14983971,82635409.53106253,98307345.03324054,70944514.81421201
D6d0S1-F0d06-Vc45-MJ008-K04,1,0.06,45.0,J008,4,44.4606679582776,16.1863340759695,28.9671059452473,5.15754745967628,4.01843515435353,37508624.30010536,33516367.32042322,29431455.71936754,24707839.95156293,26848805.643929146,35265242.0360955,41194722.26024041,33694657.38830921,57026231.81429751,103241275.83481269,172184003.39080587,51309485.00535604
D6d0S1-F0d06-Vc45-MJ009-K05,1,0.06,45.0,J009,5,42.2388861094496,13.966292123522699,24.983612100199398,4.664124905805831,3.8379619556332796,22841002.401559044,30825665.19300645,17886806.28646757,19576230.11108928,16020574.91855973,17719832.894966874,15877632.039078945,25933405.02044799,44077072.02112927,47182914.6009748,124800809.18247592,52403490.79038307
D6d0S1-F0d06-Vc45-MJ010-K05,1,0.06,45.0,J010,5,44.4700038532849,16.1956699709767,25.786601524999103,4.87264227867331,3.99895330369448,33562398.429054625,28733319.44986655,20258963.75837479,16204309.629279632,32205235.47296277,36657630.190373465,31839439.83959293,27915490.855178364,35757829.486716576,99906165.07048212,212105210.08464,116494858.16746184
D6d0S1-F0d06-Vc60-MJ001-K01,1,0.06,60.0,J001,1,42.561921288431705,14.2875874061235,34.2370037958283,4.814661226236058,3.8358882911358303,13826408.437742747,15286038.108238705,22150328.27905248,13473622.089440033,16906232.93284137,20911961.915571805,27178276.59363047,69682806.27160436,100122599.2901366,76243375.9605267,115638308.02860954,119743660.53010003
D6d0S1-F0d06-Vc60-MJ002-K01,1,0.06,60.0,J002,1,42.4309510101562,14.156617127848001,26.9235125807399,4.85205589338611,3.88207714939396,25581504.56858155,22461432.016993374,25075001.76975857,29284229.94169165,26369082.296639103,22720379.44804449,28859399.58635345,64167100.24547668,154304606.98461804,65403299.94416835,184520943.81630132,63275234.60839862
D6d0S1-F0d06-Vc60-MJ003-K02,1,0.06,60.0,J003,2,43.950281029703,15.6759471473949,24.4799392517743,4.65741898992333,3.93078924538978,26102093.70061769,21253323.635725606,16141319.134204105,10206083.820257096,17225956.128366403,16809996.60943398,23868719.46575143,125169833.5768646,182350263.0914411,96345174.05866095,254606284.5883982,56799423.93838154
D6d0S1-F0d06-Vc60-MJ004-K02,1,0.06,60.0,J004,2,44.06590235332981,15.7915684710217,31.498296562467605,4.90814657954288,3.9422346909573998,29905549.286581755,15699932.794124885,28044157.47946395,15653439.141591076,26552870.283920545,27626169.43942992,31477695.29706141,82713781.93855031,106801903.23877594,83483399.89028803,287716666.00006264,38950771.07204899
D6d0S1-F0d06-Vc60-MJ005-K03,1,0.06,60.0,J005,3,43.7136691019343,15.4393352196262,29.0438074907225,4.99393060103626,3.97390328599542,21847251.65177534,19542918.82392798,17997200.214660786,14352310.777755218,13315105.369305098,16872714.06353803,16630202.195366107,93315330.68946227,132629892.58049521,114224504.8788466,138386086.67800325,65213552.45955284
D6d0S1-F0d06-Vc60-MJ006-K03,1,0.06,60.0,J006,3,39.6330678340312,11.3587339517231,24.232584959619004,4.58866726948653,3.67275249781134,20571731.99881185,12502862.409930775,17394142.555233646,11962042.683363818,12820997.076611225,19047498.386198774,26844571.276555113,86392646.57094818,145764287.51611197,152507806.61332858,252419037.38289428,101160313.43698467
