name,S,posmak,brzina_rezanja,uzorak,komad,fill,split,opseg,maxd,avgd,50-90,90-130,130-170,170-210,210-250,250-290,290-330,330-370,370-400
D6d0S1-F0d06-Vc30-MJ006-K03,1,0.06,30.0,J006,3,41.25342605260021,12.979092170292098,26.565791903703605,4.6660109590993475,3.81337336246503,40080691.948826335,32449345.54287528,31029313.300996363,36475301.63665678,36488414.83791278,35163658.94132044,60529426.15260012,98415527.90946558,157666283.48152623
D6d0S1-F0d06-Vc30-MJ007-K04,1,0.06,30.0,J007,4,45.705315293013896,17.4309814107058,28.8544403857258,5.17280929197268,4.08830910617132,38073563.61381669,25442376.68697501,29188396.723174866,47773375.41427035,34223659.158352256,24388604.66394981,33429091.895059656,60608106.72736512,80170189.73123199
D6d0S1-F0d06-Vc30-MJ008-K04,1,0.06,30.0,J008,4,40.1214556555595,11.847121773251299,25.941155736223998,4.45389899174207,3.728768676859141,39677800.05971872,33909580.060652204,30078007.091775466,29585777.54482447,42206272.95960853,31675021.19160371,53583276.09542552,61567427.4127927,56764895.89013817
D6d0S1-F0d06-Vc30-MJ009-K05,1,0.06,30.0,J009,5,43.457499448406296,15.183165566098099,25.6442527018158,4.747420546614519,3.8865158136772595,51104684.40532848,39709003.71019272,32315159.79797445,60211408.82762758,31160722.74214917,34932033.07340246,104595021.15193364,90697379.51553586,112920127.29751232
D6d0S1-F0d06-Vc30-MJ010-K05,1,0.06,30.0,J010,5,46.2683882511722,17.994054368864,27.253604966830697,5.22559742187522,4.04876688727687,47599621.16697906,29390533.05928397,33237442.277665377,63197195.12525208,54141716.20282354,29082252.586308304,53602378.72345877,92337698.35853696,94299656.57538524
D6d0S1-F0d06-Vc45-MJ001-K01,1,0.06,45.0,J001,1,44.6285207139735,16.354186831665302,41.7790307899311,5.34254623946894,3.8872234551221503,47226215.28300034,59473206.01179201,42752090.10914258,38467906.33365008,43635384.661454216,67129780.25396937,96787872.83256938,208147300.7452097,215036905.1009556
D6d0S1-F0d06-Vc45-MJ002-K01,1,0.06,45.0,J002,1,42.202024205656,13.927690323348,36.7248058481616,4.95573919410198,3.79346041928342,39677589.56646807,30330213.13362425,28725102.15112761,34174924.89806081,41877760.48860023,26728794.09507322,69926782.95829473,80570369.46763389,136234496.07276222
D6d0S1-F0d06-Vc45-MJ003-K02,1,0.06,45.0,J003,2,42.3292726186479,14.0549387363398,25.125178798087106,4.58679823936146,3.8605457653049395,69832210.87702076,55818400.10622069,33336771.54070105,36186788.22578523,41936779.29307656,49599709.34417878,109497072.48263842,121528693.01400273,76334648.5268097
D6d0S1-F0d06-Vc45-MJ004-K02,1,0.06,45.0,J004,2,41.2854656993178,13.011131817009597,33.3755433633986,4.6012153796357,3.8799086632538895,46950161.34864447,33270885.89887689,30437462.23617457,31896618.23362237,30826239.01439124,32498221.11910849,89355086.6907187,108683318.80500332,97281762.88020812
D6d0S1-F0d06-Vc45-MJ005-K03,1,0.06,45.0,J005,3,39.4537092093238,11.206161959929199,26.8695919432047,4.702077184799768,3.80255726623954,54104977.2782959,50390045.59218551,49595440.36845888,53607917.62528268,47998615.22992519,41644264.314279616,93627306.76887757,89706014.45661667,80030116.02385466
D6d0S1-F0d06-Vc45-MJ006-K03,1,0.06,45.0,J006,3,38.1770012586316,9.90266737632344,25.009205882761,4.55735709972152,3.6547652292841,47384565.32838084,36018764.80237443,29893922.46026481,32124100.68673803,40851202.37381239,48466678.46992155,89806991.99415928,200828002.19324344,132080439.16751118
D6d0S1-F0d06-Vc45-MJ007-K04,1,0.06,45.0,J007,4,46.729693986642,18.4553601043339,27.2573863736124,4.88695235551003,3.99838619256716,35634349.751866795,47528440.90090605,30519747.79483661,42942646.6222406,35277646.3367261,44181119.83628973,119024099.8995546,161759172.03121054,123369814.51903977
D6d0S1-F0d06-Vc45-MJ008-K04,1,0.06,45.0,J008,4,44.4606679582776,16.1863340759695,28.9671059452473,5.15754745967628,4.01843515435353,58201922.36055981,63029616.81312504,43062416.98765767,46665129.09057428,67374934.75398101,66456681.33017521,140170790.24924752,213018393.4029668,142275123.24847862
D6d0S1-F0d06-Vc45-MJ009-K05,1,0.06,45.0,J009,5,42.2388861094496,13.966292123522699,24.983612100199398,4.664124905805831,3.8379619556332796,39164033.23274256,45705508.31533735,34876133.39255307,27344108.362572275,31359813.92610917,42240441.73982593,80184885.00053516,132637488.97908184,132304616.46964502
D6d0S1-F0d06-Vc45-MJ010-K05,1,0.06,45.0,J010,5,44.4700038532849,16.1956699709767,25.786601524999103,4.87264227867331,3.99895330369448,55625479.6169906,46999293.35097744,28713126.446103483,60830859.01871027,56256354.79198682,49353619.1268444,81894137.17169747,259195735.88096192,262703717.4921333
D6d0S1-F0d06-Vc60-MJ001-K01,1,0.06,60.0,J001,1,42.561921288431705,14.2875874061235,34.2370037958283,4.814661226236058,3.8358882911358303,26876671.64618032,33228599.12527769,23332413.81533477,29787674.76895583,46918642.63884544,98954526.63879514,169770117.68110192,180967132.22902343,225918434.9073493
D6d0S1-F0d06-Vc60-MJ002-K01,1,0.06,60.0,J002,1,42.4309510101562,14.156617127848001,26.9235125807399,4.85205589338611,3.88207714939396,46564814.87849291,44461472.66219591,46432330.21228018,42216831.16556973,47849896.11087819,96937199.5371183,245798933.8845181,158255711.19883195,207349810.36492
D6d0S1-F0d06-Vc60-MJ003-K02,1,0.06,60.0,J003,2,43.950281029703,15.6759471473949,24.4799392517743,4.65741898992333,3.93078924538978,47867997.15379693,31598243.34264747,17640874.992337827,25967118.31872916,42764604.68869288,172035099.09280434,296502348.79698795,302968682.3282155,202385736.27875805
D6d0S1-F0d06-Vc60-MJ004-K02,1,0.06,60.0,J004,2,44.06590235332981,15.7915684710217,31.498296562467605,4.90814657954288,3.9422346909573998,44205407.81819981,46142441.23966293,28617400.508543245,43068352.89950365,54624742.06216121,119494605.84803954,171134973.44899142,327600230.8666832,205667112.57980436
D6d0S1-F0d06-Vc60-MJ005-K03,1,0.06,60.0,J005,3,43.7136691019343,15.4393352196262,29.0438074907225,4.99393060103626,3.97390328599542,40912911.18244828,32830477.75213093,22590308.38899386,23553364.11880545,31685540.991018604,132672145.12948258,263374251.0281728,214531364.389576,135496812.65841898
D6d0S1-F0d06-Vc60-MJ006-K03,1,0.06,60.0,J006,3,39.6330678340312,11.3587339517231,24.232584959619004,4.58866726948653,3.67275249781134,33509925.16165321,28074806.85181949,21261290.96573713,25427696.78907063,39292439.07712801,126569999.1433141,301612770.01769656,380208737.31517935,216957213.48777103
D6d0S1-F0d06-Vc60-MJ007-K04,1,0.06,60.0,J007,4,42.4171363527007,14.1428024703925,25.6266497973496,4.62765538656941,3.83316761149921,49253578.10382092,52413544.31378994,36110995.51493876,39162348.22617039,43867887.941005215,129331858.53417344,260580870.52093184,244797005.2169672,355416425.6198436
D6d0S1-F0d06-Vc60-MJ008-K04,1,0.06,60.0,J008,4,42.794758685489,14.5204248031809,27.5190188301158,4.81660756074398,3.8488794480265702,37092743.31744985,47947699.62572172,34583945.4149787,44650504.32661189,57860298.27019335,132322732.54310408,287390668.6455868,181618429.5851249,222460623.36197332
D6d0S1-F0d06-Vc60-MJ009-K05,1,0.06,60.0,J009,5,42.938445527179105,14.664111644870903,26.0944492659269,4.9897322954786,3.99035884591577,25747887.270704325,36428272.86132256,26396132.51261865,27217186.04883471,42447363.19537468,145442441.84462333,171561816.26931852,433066202.645836,330965441.6807806
D6d0S1-F0d06-Vc60-MJ010-K05,1,0.06,60.0,J010,5,40.0758330594025,11.8014991770943,24.0249314937043,4.25365988527062,3.73708375718325,39681161.36110129,29065935.54191594,19236079.872342814,31864934.01934297,64905393.21405456,112967783.88276067,199449185.6564152,155899119.67765114,163152455.61703798
